date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:35	72112/72112	---M--	200	added ('OK')	font/woff2	etag:W/%22119b0-16da952e4b3%22	https://tickettool.xyz/assets/fonts/fa-brands-400.woff2	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/fa-brands-400.woff2	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:35	84564/84564	---M--	200	added ('OK')	font/woff	etag:W/%2214a54-16da952e2b7%22	https://tickettool.xyz/assets/fonts/fa-brands-400.woff	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/fa-brands-400.woff	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:38	125016/125016	---M--	200	added ('OK')	font/ttf	etag:W/%221e858-16da952e0e3%22	https://tickettool.xyz/assets/fonts/fa-brands-400.ttf	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/fa-brands-400.ttf	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:38	34388/34388	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%228654-16da952e4cf%22	https://tickettool.xyz/assets/fonts/fa-regular-400.eot	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/fa-regular-400.eot	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:39	34388/34388	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%228654-16da952e4cf%22	https://tickettool.xyz/assets/fonts/fa-regular-400.eot?	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/fa-regular-400d41d.eot	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:40	13592/13592	---M--	200	added ('OK')	font/woff2	etag:W/%223518-16da952e877%22	https://tickettool.xyz/assets/fonts/fa-regular-400.woff2	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/fa-regular-400.woff2	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:41	16812/16812	---M--	200	added ('OK')	font/woff	etag:W/%2241ac-16da952e86f%22	https://tickettool.xyz/assets/fonts/fa-regular-400.woff	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/fa-regular-400.woff	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:43	34092/34092	---M--	200	added ('OK')	font/ttf	etag:W/%22852c-16da952e74f%22	https://tickettool.xyz/assets/fonts/fa-regular-400.ttf	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/fa-regular-400.ttf	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:44	144343/144343	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22233d7-16da952e767%22	https://tickettool.xyz/assets/fonts/fa-regular-400.svg	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/fa-regular-400.svg	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:45	659876/659876	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a11a4-16da952e363%22	https://tickettool.xyz/assets/fonts/fa-brands-400.svg	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/fa-brands-400.svg	(from https://tickettool.xyz/assets/css/icons.min.css)
